"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","HPPCenter"
"SS2M28.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",10061.5,9.21647153790642,-0.872549019607843
"SS2M4.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9695,9.17936556767675,0.127450980392157
"SS2M4.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",8819,9.08466376388818,0.127450980392157
"SS2M5.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",9432.5,9.15191645183847,1.12745098039216
"SS2M5.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",9117,9.1178960815849,1.12745098039216
"SS2M7.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",7393,8.9082888855571,1.12745098039216
"SS2M7.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",9765,9.18655984331078,1.12745098039216
"SS2M7.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",4634,8.44117570499232,1.12745098039216
"SS2M7.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",4178,8.33758794211651,1.12745098039216
"SS2M9.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5957.5,8.6924062089729,1.12745098039216
"SS2M9.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",6416,8.76655014954635,1.12745098039216
"G3M2.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Familiar",7633,8.94023623179847,0.127450980392157
"G3M2.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Novel",5457,8.60465446718623,0.127450980392157
"G3M9.P","Wisconsin","Saffran et al. (2008)",2,3,3,"Familiar",5805,8.66647489413199,1.12745098039216
"G3M9.P","Wisconsin","Saffran et al. (2008)",2,3,3,"Novel",4732,8.46210322509828,1.12745098039216
"G3M11.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Familiar",4104,8.31971738685061,0.127450980392157
"G3M11.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Novel",5885,8.68016201969438,0.127450980392157
"G3F4.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Familiar",6389,8.76233304060234,0.127450980392157
"G3F4.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Novel",8239,9.01663425631559,0.127450980392157
"G3M19.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Familiar",3197,8.06996814905984,0.127450980392157
"G3M19.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Novel",5374,8.58932778917544,0.127450980392157
"G3F18.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Familiar",5848,8.67385500142962,0.127450980392157
"G3F18.P","Wisconsin","Saffran et al. (2008)",1,2,2,"Novel",5813,8.66785206770135,0.127450980392157
"G3F20.P","Wisconsin","Saffran et al. (2008)",0,1,1,"Familiar",4313,8.36938899664784,-0.872549019607843
"G3F20.P","Wisconsin","Saffran et al. (2008)",0,1,1,"Novel",5297,8.57489590154453,-0.872549019607843
"G3M31.P","Wisconsin","Saffran et al. (2008)",2,3,3,"Familiar",3652,8.20303024171486,1.12745098039216
"G3M31.P","Wisconsin","Saffran et al. (2008)",2,3,3,"Novel",5512,8.61468281269349,1.12745098039216
"G3M27.P","Wisconsin","Saffran et al. (2008)",0,1,1,"Familiar",3425,8.13885675069633,-0.872549019607843
"G3M27.P","Wisconsin","Saffran et al. (2008)",0,1,1,"Novel",4889,8.49474306257865,-0.872549019607843
