"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","HPPCenter","Study2"
"SS2F20.B","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",11800,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F20.B","Wisconsin","Saffran & Wilson",0,1,1,"Novel",8537.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F21.B","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",8320,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F21.B","Wisconsin","Saffran & Wilson",0,1,1,"Novel",7415,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F22.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",5276,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F22.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",6030,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F23.B","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",6991.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F23.B","Wisconsin","Saffran & Wilson",0,1,1,"Novel",7017.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F25.B","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",9338,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F25.B","Wisconsin","Saffran & Wilson",0,1,1,"Novel",8330,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F3.A","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",11133.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F3.A","Wisconsin","Saffran & Wilson",2,3,3,"Novel",9431.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F3.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",8056.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F3.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",7275,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F6.A","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",9047.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F6.A","Wisconsin","Saffran & Wilson",1,2,2,"Novel",5392.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F7.B","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",6802.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F7.B","Wisconsin","Saffran & Wilson",2,3,3,"Novel",7298.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F8.A","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",5070,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F8.A","Wisconsin","Saffran & Wilson",2,3,3,"Novel",4053.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M10.A","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",5634,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M10.A","Wisconsin","Saffran & Wilson",2,3,3,"Novel",6546.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M13.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",13156.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M13.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",7003.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M15.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",5688.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M15.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",4595,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M17.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",10391.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M17.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",7085,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M18.A","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",9680,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M18.A","Wisconsin","Saffran & Wilson",2,3,3,"Novel",7405,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M19.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",8078.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M19.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",3889,-0.659574468085106,"Saffran & Wilson (2003)"
