"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7692.5,-0.5,-1,9074.00086312067,-1381.50086312067,-0.978900984739791
"baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",12255.67,0.5,0,9009.45232626798,3246.21767373202,2.30019811230362
"baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4299.67,-0.5,-1,5056.58872936436,-756.918729364364,-0.536335886080477
"baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4074,0.5,0,4324.92717397119,-250.927173971191,-0.17780145076675
"SS2F1.A","Wisconsin","Saffran & Wilson (2003)",3,4,4,"Familiar",8231.5,-0.5,-1,7772.55558682533,458.944413174671,0.32519786993305
"SS2F1.A","Wisconsin","Saffran & Wilson (2003)",3,4,4,"Novel",9483.5,0.5,0,9042.23308705363,441.266912946368,0.312671983888987
"SS2F1.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",7067,-0.5,-1,6990.45861703224,76.5413829677627,0.054235532644719
"SS2F1.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7583.5,0.5,0,7593.02309872005,-9.52309872004753,-0.00674785732219591
"SS2F11.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",6765,-0.5,-1,7160.89773928495,-395.897739284954,-0.280524389949982
"SS2F11.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7326.5,0.5,0,7096.34920243227,230.150797567728,0.163079769540483
"SS2F12.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",11010,-0.5,-1,9859.71095060199,1150.28904939801,0.815069402597079
"SS2F12.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",9173,0.5,0,9128.04939520881,44.9506047911855,0.0318510052866302
"SS2F12.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7725,-0.5,-1,7515.72321342042,209.276786579585,0.148288906604933
"SS2F12.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",6292.5,0.5,0,6784.06165802724,-491.561658027242,-0.34830972889603
"SS2F13.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",4980,-0.5,-1,6492.7348249882,-1512.7348249882,-1.07189047025719
"SS2F13.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7354,0.5,0,6428.18628813552,925.813711864478,0.656011138626831
"SS2F14.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5420,-0.5,-1,5510.99575445141,-90.9957544514109,-0.0644775808814287
"SS2F14.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",5339,0.5,0,6113.56023613922,-774.560236139221,-0.548836267958771
"SS2F14.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",10073.5,-0.5,-1,9350.34310112563,723.156898874371,0.512412999026598
"SS2F14.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",9777,0.5,0,9285.79456427295,491.205435727054,0.34805731764552
"SS2F15.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9707,-0.5,-1,8411.87359674922,1295.12640325078,0.917697951082605
"SS2F15.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7675,0.5,0,8347.32505989654,-672.325059896544,-0.476394681152277
"SS2F15.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",6853.5,-0.5,-1,7976.64046607108,-1123.14046607108,-0.795832516350777
"SS2F15.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",10391,0.5,0,8579.20494775889,1811.79505224111,1.28379793898876
"SS2F18.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7505,-0.5,-1,8003.87182335329,-498.871823353289,-0.353489550514175
"SS2F18.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7796.5,0.5,0,7272.21026796012,524.289732039884,0.371500118952858
"SS2F19.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8667.5,-0.5,-1,8357.81758335914,309.682416640864,0.219434117414563
"SS2F19.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7565,0.5,0,7626.15602796596,-61.1560279659616,-0.043333810058883
"SS2F20.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",11800,-0.5,-1,9918.44845857288,1881.55154142712,1.33322584582475
"SS2F20.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",8537.5,0.5,0,9186.78690317971,-649.286903179707,-0.460070352374256
"SS2F21.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8320,-0.5,-1,8168.6790059124,151.320994087598,0.107222712687669
"SS2F21.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7415,0.5,0,7437.01745051923,-22.017450519229,-0.0156010789208246
"SS2F22.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5276,-0.5,-1,6101.91179460581,-825.911794605809,-0.585222847578646
"SS2F22.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",6030,0.5,0,6037.36325775313,-7.36325775312707,-0.00521744173879638
"SS2F23.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",6991.5,-0.5,-1,7512.4917000369,-520.991700036902,-0.369163206351783
"SS2F23.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7017.5,0.5,0,6780.83014464373,236.669855356271,0.167699029838566
"SS2F25.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",9338,-0.5,-1,8903.56316712755,434.436832872452,0.307832340072113
"SS2F25.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",8330,0.5,0,8171.90161173437,158.098388265626,0.11202502444291
"SS2F3.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",11133.5,-0.5,-1,9239.02166488893,1894.47833511107,1.34238548618731
"SS2F3.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",9431.5,0.5,0,9841.58614657674,-410.086146576738,-0.290577981837317
"SS2F3.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",8056.5,-0.5,-1,7632.31851523259,424.18148476741,0.300565627016141
"SS2F3.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7275,0.5,0,7567.76997837991,-292.769978379909,-0.207450337375075
"SS2F6.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9047.5,-0.5,-1,7293.38978800895,1754.11021199105,1.24292373584292
"SS2F6.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",5392.5,0.5,0,7228.84125115627,-1836.34125115627,-1.30119083314547
"SS2F7.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",6802.5,-0.5,-1,6781.55078123931,20.9492187606857,0.0148441535013165
"SS2F7.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7298.5,0.5,0,7384.11526292712,-85.6152629271246,-0.0606650834794289
"SS2F8.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5070,-0.5,-1,4889.21456165919,180.785438340814,0.128100566813023
"SS2F8.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",4053.5,0.5,0,5491.779043347,-1438.279043347,-1.01913274862717
"SS2M1.B","Wisconsin","Saffran & Wilson (2003)",4,5,5,"Familiar",5165,-0.5,-1,4872.24801159519,292.751988404805,0.207437590076239
"SS2M1.B","Wisconsin","Saffran & Wilson (2003)",4,5,5,"Novel",5928.5,0.5,0,6809.03853036399,-880.53853036399,-0.623930145456123
"SS2M10.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5634,-0.5,-1,6051.41884558816,-417.418845588157,-0.295773770326992
"SS2M10.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",6546.5,0.5,0,6653.98332727597,-107.483327275967,-0.0761603106608868
"SS2M13.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",13156.5,-0.5,-1,9468.00820608998,3688.49179391002,2.6135837809808
"SS2M13.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7003.5,0.5,0,9403.4596692373,-2399.9596692373,-1.70055838998558
"SS2M15.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5688.5,-0.5,-1,5713.17974347157,-24.6797434715691,-0.0174875208784681
"SS2M15.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",4595,0.5,0,5648.63120661889,-1053.63120661889,-0.746579791041155
"SS2M17.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",10391.5,-0.5,-1,8830.75907148725,1560.74092851275,1.10590653442927
"SS2M17.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7085,0.5,0,8099.09751609407,-1014.09751609407,-0.718567091506737
"SS2M18.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",9680,-0.5,-1,7916.00206787459,1763.99793212541,1.2499299558423
"SS2M18.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7405,0.5,0,8518.5665495624,-1113.5665495624,-0.789048650666471
"SS2M19.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8078.5,-0.5,-1,6736.35822092634,1342.14177907366,0.951012007497288
"SS2M19.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",3889,0.5,0,6004.69666553317,-2115.69666553317,-1.49913590688811
"SS2M2.A","Wisconsin","Saffran & Wilson (2003)",3,4,4,"Familiar",4985,-0.5,-1,5346.44939189804,-361.44939189804,-0.25611505219283
"SS2M2.A","Wisconsin","Saffran & Wilson (2003)",3,4,4,"Novel",6348.5,0.5,0,6616.12689212634,-267.626892126343,-0.189634502039717
"SS2M2.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5697.5,-0.5,-1,5714.70045565204,-17.2004556520442,-0.0121878627985254
"SS2M2.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",4590,0.5,0,5650.15191879936,-1060.15191879936,-0.751200223604804
"SS2M24.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7537.5,-0.5,-1,6774.37602543825,763.123974561755,0.540732785710751
"SS2M24.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",4530,0.5,0,6042.71447004507,-1512.71447004507,-1.07187604719427
"SS2M25.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",5707.5,-0.5,-1,6496.84605250133,-789.346052501331,-0.559313170712459
"SS2M25.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",5630,0.5,0,5765.18449710816,-135.184497108157,-0.0957887474943763
"SS2M27.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",8417.5,-0.5,-1,7780.39786380646,637.102136193536,0.451436495733266
"SS2M27.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7303.5,0.5,0,7715.84932695378,-412.349326953782,-0.292181621443251
"SS2M28.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8960,-0.5,-1,9418.1341511962,-458.134151196198,-0.324623736199371
"SS2M28.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",10061.5,0.5,0,8686.47259580302,1375.02740419698,0.974314034789748
"SS2M4.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9695,-0.5,-1,8842.235143824,852.764856175998,0.604250333638233
"SS2M4.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",8819,0.5,0,8777.68660697132,41.3133930286785,0.0292737574027726
"SS2M5.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",9432.5,-0.5,-1,8472.77281495146,959.727185048541,0.680041476342897
"SS2M5.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",9117,0.5,0,9075.33729663927,41.662703360731,0.0295212709853943
"SS2M7.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",7393,-0.5,-1,7943.75506516828,-550.755065168283,-0.390252869206184
