"Model","Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid",".fittedExp"
"Raw","baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5165.67,8.5497900924052,0.5,0,5554.48308125715,-388.813081257153,-0.296775387047643,Inf
"Raw","baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7692.5,8.9480011071962,-0.5,-1,8725.09297091656,-1032.59297091656,-0.788163241873431,Inf
"Raw","baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",12255.67,9.4137439660304,0.5,0,9497.32792304269,2758.34207695731,2.10540251076942,Inf
"Raw","baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4299.67,8.36629355455062,-0.5,-1,4377.97757749473,-78.307577494731,-0.0597710384244807,Inf
"Raw","baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4074,8.31238059678675,0.5,0,4731.28266677291,-657.282666772906,-0.501694328803262,Inf
"Raw","SS2F1.A","Wisconsin","Saffran & Wilson (2003)",3,4,4,"Familiar",8231.5,9.01572353708808,-0.5,-1,7958.5615811904,272.938418809605,0.208329937409743,Inf
"Raw","SS2F1.A","Wisconsin","Saffran & Wilson (2003)",3,4,4,"Novel",9483.5,9.15730872542438,0.5,0,8843.22647396987,640.273526030131,0.488711498310616,Inf
"Raw","SS2F1.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",7067,8.86319134069085,-0.5,-1,7233.34366520998,-166.343665209983,-0.126967707634728,Inf
"Raw","SS2F1.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7583.5,8.93373011349145,0.5,0,7315.33855115686,268.161448843141,0.204683745501465,Inf
"Raw","SS2F11.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",6765,8.81951754060489,-0.5,-1,7496.00725226875,-731.007252268748,-0.557967235889391,Inf
"Raw","SS2F11.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7326.5,8.89925319107808,0.5,0,6775.33213138303,551.167868616974,0.420698442058956,Inf
"Raw","SS2F12.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",11010,9.30655922971673,-0.5,-1,10380.8643879055,629.135612094542,0.480210090105805,Inf
"Raw","SS2F12.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",9173,9.12401966550966,0.5,0,8857.51926018714,315.48073981286,0.240801874158434,Inf
"Raw","SS2F12.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7725,8.95221710176595,-0.5,-1,7949.89914863663,-224.899148636633,-0.171662259066789,Inf
"Raw","SS2F12.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",6292.5,8.74711372700947,0.5,0,6426.55402091831,-134.054020918315,-0.102321490353904,Inf
"Raw","SS2F13.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",4980,8.5131851700187,-0.5,-1,6803.05105925683,-1823.05105925683,-1.39150843888591,Inf
